symptom1,symptom2,symptom3,symptom4,symptom5,symptom6,symptom7,symptom8,disease
red eyes,itching,tearing,discharge,swelling,burning,sensitivity to light,blurred vision,Conjunctivitis
eye pain,blurred vision,halos around lights,nausea,vomiting,headache,red eyes,vision loss,Acute Glaucoma
sudden vision loss,flashing lights,floaters,curtain over vision,distorted vision,shadow,peripheral vision loss,eye pain,Retinal Detachment
dry eyes,gritty feeling,burning,excessive tearing,blurred vision,light sensitivity,eye fatigue,redness,Dry Eye Syndrome
double vision,drooping eyelids,muscle weakness,difficulty swallowing,slurred speech,breathing problems,fatigue,choking,Myasthenia Gravis
muscle cramps,weakness,twitching,stiffness,pain,fatigue,difficulty moving,coordination problems,Muscular Dystrophy
bone pain,frequent fractures,height loss,stooped posture,back pain,limited mobility,kyphosis,fragility,Osteoporosis
joint swelling,redness,warmth,severe pain,fever,chills,difficulty moving,tenderness,Septic Arthritis
skin rash,itching,redness,swelling,blisters,burning,pain,crusting,Contact Dermatitis
dry skin,itching,redness,scaling,cracking,thickening,bleeding,infection,Eczema
oily skin,blackheads,whiteheads,pimples,cysts,scarring,inflammation,psychological impact,Acne
skin growths,changes in moles,irregular borders,color changes,bleeding,itching,non-healing sores,asymmetry,Skin Cancer
hair loss,thinning,receding hairline,bald patches,brittle hair,slow growth,texture changes,scalp irritation,Alopecia
nail changes,thickening,discoloration,brittleness,splitting,ridges,infections,pain,Nail Disorders
mouth sores,painful ulcers,difficulty eating,swollen gums,bleeding gums,bad breath,loose teeth,jaw pain,Periodontal Disease
tooth pain,sensitivity,swelling,fever,bad taste,difficulty chewing,jaw pain,headache,Dental Abscess
difficulty swallowing,chest pain,regurgitation,weight loss,coughing,choking,heartburn,voice changes,Esophageal Disorders
stomach pain,nausea,vomiting,bloating,loss of appetite,weight loss,heartburn,feeling full,Peptic Ulcer Disease
bloody stools,diarrhea,abdominal pain,urgency,tenesmus,weight loss,fatigue,fever,Ulcerative Colitis
abdominal pain,constipation,diarrhea,bloating,mucus in stool,feeling incomplete evacuation,urgency,gas,Irritable Bowel Syndrome
yellowing skin,abdominal pain,nausea,vomiting,fatigue,dark urine,pale stools,loss of appetite,Liver Disease
abdominal pain,nausea,vomiting,fever,rapid pulse,tenderness,back pain,oily stools,Pancreatitis
abdominal pain,nausea,vomiting,constipation,loss of appetite,fever,bloating,inability to pass gas,Bowel Obstruction
right upper abdominal pain,nausea,vomiting,fever,jaundice,clay-colored stools,dark urine,indigestion,Gallbladder Disease
frequent urination,excessive thirst,hunger,weight loss,fatigue,blurred vision,slow healing,tingling,Diabetes Mellitus
weight gain,fatigue,cold intolerance,constipation,dry skin,hair loss,depression,memory problems,Hypothyroidism
weight loss,heat intolerance,rapid heartbeat,sweating,nervousness,tremor,frequent bowel movements,eye problems,Hyperthyroidism
excessive urination,excessive thirst,dehydration,weakness,confusion,seizures,coma,electrolyte imbalance,Diabetes Insipidus
high blood pressure,muscle weakness,excessive urination,excessive thirst,headaches,fatigue,kidney stones,bone loss,Hyperparathyroidism
bone pain,muscle weakness,kidney stones,depression,fatigue,nausea,vomiting,confusion,Hypercalcemia
muscle cramps,numbness,tingling,seizures,personality changes,depression,anxiety,heart rhythm problems,Hypocalcemia
weakness,fatigue,muscle cramps,nausea,vomiting,confusion,seizures,coma,Hyponatremia
muscle weakness,paralysis,heart rhythm abnormalities,fatigue,cramping,constipation,frequent urination,kidney problems,Hypokalemia
shortness of breath,fatigue,weakness,pale skin,cold hands,restless legs,brittle nails,strange cravings,Iron Deficiency Anemia
fatigue,weakness,pale skin,shortness of breath,dizziness,cold hands,brittle nails,rapid heartbeat,Vitamin B12 Deficiency
bone pain,muscle weakness,fatigue,depression,hair loss,slow wound healing,increased infections,bone loss,Vitamin D Deficiency
bleeding gums,loose teeth,fatigue,joint pain,skin problems,slow wound healing,depression,anemia,Scurvy (Vitamin C Deficiency)
night blindness,dry eyes,skin problems,increased infections,slow growth,reproductive problems,bone problems,tooth problems,Vitamin A Deficiency
fatigue,confusion,irritability,depression,skin problems,anemia,nerve problems,muscle weakness,Vitamin B Complex Deficiency
easy bruising,bleeding,fatigue,weakness,joint pain,skin problems,delayed wound healing,dental problems,Vitamin K Deficiency
muscle weakness,nerve problems,coordination issues,anemia,skin problems,hair loss,reproductive problems,immune dysfunction,Vitamin E Deficiency
swollen lymph nodes,fever,night sweats,weight loss,fatigue,itching,chest pain,shortness of breath,Lymphoma
unexplained weight loss,fatigue,fever,night sweats,bone pain,easy bleeding,frequent infections,enlarged organs,Cancer
lump or mass,pain,swelling,skin changes,nipple discharge,skin dimpling,breast asymmetry,lymph node swelling,Breast Cancer
changes in bowel habits,blood in stool,abdominal pain,weight loss,fatigue,nausea,vomiting,constipation,Colorectal Cancer
persistent cough,chest pain,shortness of breath,coughing blood,weight loss,fatigue,hoarse voice,wheezing,Lung Cancer
difficulty swallowing,chest pain,weight loss,heartburn,coughing,hoarse voice,bone pain,fatigue,Esophageal Cancer
abdominal pain,weight loss,jaundice,nausea,vomiting,loss of appetite,fatigue,back pain,Pancreatic Cancer
blood in urine,frequent urination,painful urination,back pain,weight loss,fatigue,swelling,bone pain,Kidney Cancer
difficulty urinating,blood in urine,frequent urination,painful urination,back pain,weight loss,fatigue,bone pain,Prostate Cancer
abnormal vaginal bleeding,pelvic pain,pain during intercourse,unusual discharge,weight loss,fatigue,back pain,leg swelling,Cervical Cancer
abdominal bloating,pelvic pain,difficulty eating,frequent urination,fatigue,back pain,weight loss,abnormal bleeding,Ovarian Cancer
headaches,seizures,vision problems,hearing problems,balance problems,personality changes,nausea,vomiting,Brain Tumor
bone pain,fractures,weakness,fatigue,weight loss,fever,night sweats,anemia,Bone Cancer
skin changes,moles,unusual growths,bleeding,itching,pain,changes in existing moles,non-healing sores,Melanoma
enlarged lymph nodes,fever,night sweats,fatigue,weight loss,recurrent infections,easy bleeding,bone pain,Hodgkin Disease
enlarged lymph nodes,fever,night sweats,weight loss,fatigue,abdominal pain,chest pain,shortness of breath,Non-Hodgkin Lymphoma
bone pain,fractures,anemia,fatigue,kidney problems,frequent infections,bleeding,confusion,Multiple Myeloma
easy bruising,frequent infections,fatigue,weakness,pale skin,fever,weight loss,bone pain,Acute Leukemia
fatigue,weakness,enlarged lymph nodes,easy bruising,frequent infections,weight loss,night sweats,abdominal fullness,Chronic Leukemia
recurrent infections,slow wound healing,frequent illness,fatigue,swollen lymph nodes,diarrhea,weight loss,skin problems,Immunodeficiency Disorders
allergic reactions,hives,swelling,difficulty breathing,itching,rash,nausea,vomiting,Allergic Disorders
joint pain,skin rash,fatigue,fever,organ involvement,autoimmune symptoms,inflammation,tissue damage,Autoimmune Disorders
muscle weakness,skin rash,difficulty swallowing,joint pain,fatigue,fever,lung problems,heart problems,Inflammatory Myopathy
dry mouth,dry eyes,joint pain,fatigue,swollen glands,skin rash,dental problems,difficulty swallowing,Sjögren's Syndrome
skin thickening,joint pain,difficulty swallowing,heartburn,shortness of breath,fingertip ulcers,muscle weakness,fatigue,Systemic Sclerosis
muscle pain,joint pain,skin rash,fatigue,fever,kidney problems,neurological symptoms,blood disorders,Mixed Connective Tissue Disease
joint pain,skin rash,kidney problems,seizures,fatigue,fever,hair loss,mouth sores,Systemic Lupus Erythematosus
muscle weakness,skin rash,difficulty climbing stairs,difficulty raising arms,joint pain,fatigue,fever,lung problems,Polymyositis
skin rash,muscle weakness,joint pain,fatigue,fever,difficulty swallowing,lung problems,heart problems,Dermatomyositis
temporal headaches,jaw pain,vision problems,scalp tenderness,fatigue,weight loss,fever,muscle aches,Giant Cell Arteritis
headaches,fatigue,joint pain,vision problems,claudication,weight loss,fever,muscle pain,Temporal Arteritis
kidney inflammation,blood in urine,protein in urine,high blood pressure,swelling,fatigue,nausea,decreased urination,Glomerulonephritis
frequent infections,slow growth,developmental delays,skin problems,diarrhea,lung problems,autoimmune disorders,cancer risk,Primary Immunodeficiency
recurrent infections,chronic inflammation,organ damage,fatigue,fever,joint pain,skin problems,growth delays,Chronic Granulomatous Disease
recurrent infections,eczema,bleeding problems,small platelets,diarrhea,increased cancer risk,autoimmune problems,immunodeficiency,Wiskott-Aldrich Syndrome
absent or small thymus,heart defects,facial abnormalities,low calcium,recurrent infections,developmental delays,learning problems,cleft palate,DiGeorge Syndrome
recurrent bacterial infections,absent immunoglobulins,chronic diarrhea,failure to thrive,lung infections,meningitis,skin infections,arthritis,X-linked Agammaglobulinemia
variable immunodeficiency,recurrent infections,autoimmune disorders,gastrointestinal problems,lung disease,increased cancer risk,granulomas,lymphadenopathy,Common Variable Immunodeficiency
severe combined immunodeficiency,failure to thrive,chronic diarrhea,recurrent infections,absent T cells,absent B cells,opportunistic infections,graft versus host disease,Severe Combined Immunodeficiency Disease
chronic mucocutaneous candidiasis,endocrine disorders,autoimmune polyendocrinopathy,hypoparathyroidism,adrenal insufficiency,chronic infections,nail dystrophy,dental problems,Autoimmune Polyendocrinopathy Syndrome
recurrent fever,abdominal pain,chest pain,joint pain,skin rash,eye inflammation,oral ulcers,genital ulcers,Periodic Fever Syndromes
recurrent fever,rash,joint pain,lymphadenopathy,hepatosplenomegaly,serositis,neurological symptoms,growth retardation,Systemic Juvenile Idiopathic Arthritis
high fever,rash,lymphadenopathy,red eyes,red lips,strawberry tongue,hand swelling,heart problems,Kawasaki Disease
fever,weight loss,fatigue,joint pain,skin nodules,nerve problems,kidney problems,heart problems,Polyarteritis Nodosa
asthma,sinusitis,peripheral neuropathy,skin lesions,lung infiltrates,eosinophilia,heart problems,kidney problems,Eosinophilic Granulomatosis with Polyangiitis
sinusitis,lung nodules,kidney problems,saddle nose,hearing loss,eye problems,skin lesions,joint pain,Granulomatosis with Polyangiitis
muscle pain,headaches,vision problems,jaw claudication,scalp tenderness,weight loss,fatigue,fever,Polymyalgia Rheumatica
joint pain,back pain,eye inflammation,skin lesions,bowel inflammation,fatigue,stiffness,reduced mobility,Spondyloarthropathy
heel pain,back pain,joint swelling,eye inflammation,skin lesions,bowel problems,urogenital infections,family history,Reactive Arthritis
back pain,stiffness,reduced spinal mobility,fatigue,eye inflammation,heart problems,lung problems,kidney problems,Ankylosing Spondylitis
joint pain,skin lesions,nail changes,fatigue,stiffness,swelling,eye inflammation,heart problems,Psoriatic Arthritis
abdominal pain,diarrhea,weight loss,fatigue,fever,joint pain,skin lesions,eye inflammation,Inflammatory Bowel Disease
bloody diarrhea,abdominal pain,urgency,weight loss,fatigue,fever,joint pain,skin lesions,Ulcerative Colitis
abdominal pain,diarrhea,weight loss,fatigue,fever,mouth sores,perianal disease,joint pain,Crohn's Disease
difficulty swallowing,chest pain,weight loss,regurgitation,chronic cough,hoarse voice,heartburn,aspiration,Achalasia
chest pain,difficulty swallowing,regurgitation,weight loss,chronic cough,hoarse voice,food impaction,aspiration,Esophageal Stricture
chest pain,difficulty swallowing,regurgitation,heartburn,chronic cough,hoarse voice,aspiration pneumonia,weight loss,Esophageal Motility Disorders
abdominal pain,nausea,vomiting,bloating,early satiety,weight loss,heartburn,belching,Gastroparesis
stomach pain,nausea,vomiting,loss of appetite,weight loss,bloating,heartburn,black stools,Gastric Ulcer
upper abdominal pain,nausea,vomiting,bloating,heartburn,loss of appetite,weight loss,back pain,Duodenal Ulcer
abdominal pain,diarrhea,constipation,bloating,gas,mucus in stool,urgency,incomplete evacuation,Functional Bowel Disorders
abdominal pain,constipation,bloating,straining,hard stools,incomplete evacuation,anal fissures,hemorrhoids,Chronic Constipation
frequent loose stools,urgency,abdominal cramps,bloating,gas,dehydration,weight loss,fatigue,Chronic Diarrhea
rectal bleeding,anal pain,itching,swelling,prolapse,discharge,difficulty sitting,bowel leakage,Hemorrhoids
anal pain,bleeding,discharge,itching,muscle spasm,difficulty sitting,painful bowel movements,constipation,Anal Fissure
perianal abscess,pain,swelling,fever,discharge,difficulty sitting,painful bowel movements,recurrent infections,Anorectal Disorders
jaundice,abdominal pain,nausea,vomiting,fatigue,loss of appetite,weight loss,dark urine,Acute Hepatitis
fatigue,jaundice,abdominal swelling,leg swelling,confusion,bleeding,spider veins,muscle wasting,Chronic Liver Disease
abdominal swelling,leg swelling,shortness of breath,fatigue,loss of appetite,nausea,confusion,jaundice,Cirrhosis
upper right abdominal pain,nausea,vomiting,fever,jaundice,clay-colored stools,dark urine,bloating,Cholecystitis
upper right abdominal pain,jaundice,fever,chills,nausea,vomiting,dark urine,clay-colored stools,Choledocholithiasis
severe abdominal pain,nausea,vomiting,fever,rapid pulse,back pain,weight loss,diabetes,Acute Pancreatitis
abdominal pain,weight loss,diabetes,steatorrhea,nausea,vomiting,fatigue,malnutrition,Chronic Pancreatitis
frequent urination,excessive thirst,blurred vision,fatigue,slow healing,frequent infections,numbness,tingling,Diabetic Complications
kidney damage,protein in urine,high blood pressure,swelling,fatigue,nausea,decreased urination,foamy urine,Diabetic Nephropathy
vision problems,blurred vision,floaters,dark spots,difficulty seeing at night,vision loss,eye pain,light sensitivity,Diabetic Retinopathy
numbness,tingling,burning pain,weakness,muscle cramps,loss of reflexes,balance problems,foot ulcers,Diabetic Neuropathy
slow wound healing,frequent infections,skin problems,gum disease,blurred vision,fatigue,excessive thirst,frequent urination,Diabetes Mellitus Complications
recurrent fevers,skin rashes,arthralgia,abdominal cramps,chest discomfort,swollen lymph nodes,exhaustion,cephalgia,Familial Mediterranean Fever
chronic fatigue,arthritis,skin hardening,cold fingers,dysphagia,acid reflux,dyspnea,finger tip sores,Systemic Sclerosis
persistent cough,breathing difficulties,repeated infections,viscous sputum,failure to thrive,excessive salt in sweat,GI issues,sinus polyps,Cystic Fibrosis
stretchy skin,frequent bruising,flexible joints,poor healing,heart valve issues,enlarged aorta,persistent pain,vessel fragility,Ehlers-Danlos Syndrome
increased height,eye lens displacement,aortic dilation,hypermobile joints,roof of mouth abnormality,chest wall deformity,nearsightedness,stretch marks,Marfan Syndrome
mental retardation,overactivity,prominent ears,elongated face,autistic behaviors,convulsions,nervousness,sleep disorders,Fragile X Syndrome
weak muscles,duck-like walk,trouble standing,enlarged calves,muscle deterioration,lung problems,heart muscle disease,cognitive impairment,Duchenne Muscular Dystrophy
eye abnormalities,deafness,renal disease,hematuria,protein in urine,ocular pain,corneal defects,hereditary pattern,Alport Syndrome
low blood count,skeletal pain,infections,tiredness,breathing problems,growth retardation,yellow skin,vascular episodes,Sickle Cell Disease
motor delay,muscle weakness,liver enzyme elevation,respiratory issues,heart muscle problems,feeding troubles,macroglossia,auditory loss,Pompe Disease
cloudy corneas,bone deformities,cardiac valve disease,rough facial appearance,dwarfism,delayed development,stiff joints,organ enlargement,Hunter Syndrome
missing sweat glands,thin hair,absent teeth,xerosis,heat sensitivity,nail deformities,oral clefts,immunodeficiency,Ectodermal Dysplasia
small stature,wide chest,shortened extremities,enlarged head,distinctive hands,spinal narrowing,sleep breathing problems,joint issues,Achondroplasia
developmental delays,epilepsy,autism-like features,cheerful disposition,unsteady gait,sleep issues,eating problems,communication difficulties,Angelman Syndrome
low muscle tone,feeding difficulties,distinctive eye shape,weight gain,reduced height,conduct problems,temperature regulation issues,spine curvature,Prader-Willi Syndrome
facial butterfly pattern,sun sensitivity,joint aches,renal involvement,seizure disorder,alopecia,oral sores,cold-induced vasospasm,Lupus (SLE)
excessive urination,extreme thirst,visual disturbances,diabetic family history,slow progression,maintained weight,ketone resistance,elevated blood pressure,Maturity Onset Diabetes of the Young
blue-tinted sclera,frequent bone breaks,auditory impairment,reduced stature,triangular facial shape,hypermobile joints,tooth problems,easy bruising,Osteogenesis Imperfecta
decreased height,neck webbing,fluid retention,cardiac abnormalities,renal issues,educational challenges,reproductive problems,bone density loss,Turner Syndrome
breast development in males,underdeveloped testes,above average height,academic difficulties,speech delays,reduced facial hair,weak bones,sterility,Klinefelter Syndrome
repeated bone fractures,leg bowing,stunted growth,dental issues,muscle weakness,skeletal pain,delayed soft spot closure,premature skull fusion,Hypophosphatasia
skin spotting,coffee-colored marks,nerve tumors,learning problems,seizure activity,bone issues,sight problems,high blood pressure,Neurofibromatosis Type 1
large head,autism spectrum,tissue growths,convulsions,dermatological lesions,thyroid dysfunction,developmental delays,intestinal polyps,PTEN Hamartoma Syndrome
sight deterioration,uncoordinated movement,nerve damage,hearing impairment,cardiac rhythm issues,skin alterations,muscle weakness,mental decline,Refsum Disease
cherry-colored retinal spot,skill regression,seizure disorder,muscle weakness,startle response,vision loss,eating difficulties,progressive decline,Tay-Sachs Disease
elevated eye pressure,lens displacement,bone deformities,cognitive impairment,convulsions,blood clotting,mental health issues,bone weakness,Homocystinuria
dry ocular surface,mouth dryness,joint aches,exhaustion,gland swelling,tooth problems,skin eruptions,pulmonary issues,Sjögren Syndrome
reduced vision,auditory loss,equilibrium problems,poor night vision,retinal deterioration,progressive blindness,mobility difficulties,genetic transmission,Usher Syndrome
muscle rigidity,muscle spasms,exaggerated startle,anxiety disorder,walking difficulties,spinal pain,muscle contractions,sound sensitivity,Stiff Person Syndrome
repeated clotting,pregnancy loss,skin mottling,low platelet count,neurologic symptoms,kidney involvement,skin breakdown,cerebrovascular risk,Antiphospholipid Syndrome
loose joints,soft skin,easy bruising,yellow skin bumps,vision issues,GI bleeding,kidney stones,cardiac problems,Pseudoxanthoma Elasticum
lens opacity,nerve disease,balance problems,tendon deposits,loose stools,intellectual deterioration,muscle stiffness,seizure activity,Cerebrotendinous Xanthomatosis
rough facial features,liver and spleen enlargement,bone abnormalities,corneal opacity,cardiac issues,breathing problems,joint rigidity,developmental delay,Hurler Syndrome
growth retardation,delayed sexual development,tiredness,muscle weakness,increased adipose tissue,reduced bone mass,social isolation,concentration problems,Growth Hormone Deficiency
high blood pressure,head pain,heart racing,profuse sweating,anxiety attacks,nausea,chest discomfort,trembling,Pheochromocytoma
membrane lesions,skin lesions,nail changes,mouth pain,burning feelings,white areas,tissue breakdown,scar formation,Lichen Planus
vision blurring,visual field reduction,head pain,eye discomfort,light halos,stomach upset,red eyes,sight loss,Glaucoma
voice hoarseness,tiredness,weight increase,cold sensitivity,bowel slowness,skin dryness,hair thinning,mood depression,Hashimoto's Thyroiditis
skin hardening,itching sensation,skin darkening,joint tightness,swallowing difficulty,breathing problems,kidney involvement,heart issues,Scleroderma
red scaling patches,itching,silvery scales,bleeding skin,pain,joint involvement,nail alterations,exhaustion,Psoriasis
light sensitivity,nerve symptoms,stomach pain,skin blistering,psychiatric issues,muscle weakness,seizure activity,dark colored urine,Porphyria
stomach pain,abdominal swelling,nausea,blood in stool,diarrhea,weight reduction,low blood count,colon cancer family history,Familial Adenomatous Polyposis
skin blistering,sun sensitivity,scarring,fragile skin,nail problems,tooth issues,growth problems,anemia,Epidermolysis Bullosa
heat sensitivity,appetite increase,weight reduction,heart palpitations,hand tremor,excessive sweating,anxiety,protruding eyes,Graves' Disease
muscle weakness,eyelid drooping,swallowing problems,double vision,unclear speech,breathing difficulties,tiredness,muscle spasms,Myasthenia Gravis
anemia,yellowing skin,tiredness,bone pain,spleen enlargement,growth delays,gallbladder stones,leg sores,Beta Thalassemia
abnormal walking,speech difficulties,involuntary movements,personality alterations,depression,swallowing problems,cognitive deterioration,family history,Huntington's Disease
skin sores,finger tissue death,calcium deposits,small blood vessels,finger thickening,cold-induced spasm,swallowing difficulty,shortness of breath,CREST Syndrome
weakness,muscle twitching,stiffness,speech problems,swallowing difficulties,breathing issues,muscle cramps,emotional instability,Amyotrophic Lateral Sclerosis
hand tremor,muscle rigidity,slow movement,balance problems,expressionless face,shuffling walk,depression,sleep disorders,Parkinson's Disease
memory problems,confusion,personality changes,daily task difficulty,language issues,disorientation,mood alterations,social withdrawal,Alzheimer's Disease
tiredness,weight reduction,night sweating,lymph node enlargement,fever,itching sensation,alcohol-triggered pain,coughing,Hodgkin's Lymphoma
extreme thirst,frequent urination,weight loss,tiredness,blurred vision,slow wound healing,urine ketones,nausea,Type 1 Diabetes
excessive bleeding,easy bruising,small red spots,nosebleeds,heavy periods,gum bleeding,prolonged surgical bleeding,bleeding family history,Von Willebrand Disease
heart sound abnormality,breathing difficulty,tiredness,chest pain,dizziness,fainting,heart racing,exercise limitation,Marfan Syndrome Cardiac Variant
bone discomfort,abnormal fractures,high calcium,anemia,renal problems,confusion,constipation,tiredness,Multiple Myeloma
seizure disorder,developmental delay,skin abnormalities,behavioral issues,learning difficulties,kidney problems,heart abnormalities,dental problems,Tuberous Sclerosis
balance problems,muscle weakness,vision issues,hearing loss,diabetes,heart problems,spine curvature,foot deformities,Friedreich's Ataxia
reduced stature,distinctive facial features,heart defects,intellectual disability,friendly personality,anxiety,attention problems,high calcium,Williams Syndrome
developmental delay,large head,seizures,autism spectrum behaviors,intellectual disability,hyperactivity,sleep problems,connective tissue problems,Fragile X Syndrome (Advanced)
joint rigidity,tissue nodules,contractures,hand deformity,gripping difficulty,progressive worsening,family history,alcohol association,Dupuytren Contracture
sight loss,side vision loss,night blindness,color vision difficulty,light sensitivity,progressive blindness,family history,genetic inheritance,Retinitis Pigmentosa
weight reduction,stomach pain,diarrhea,bloating,tiredness,nutrient deficiencies,skin rash,bone problems,Celiac Disease
stomach pain,diarrhea,rectal bleeding,weight loss,tiredness,fever,mouth sores,joint pain,Crohn's Disease
joint aches,skin rash,kidney problems,muscle weakness,cold-induced spasm,lung problems,fever,tiredness,Mixed Connective Tissue Disease
low blood count,tiredness,breathing difficulty,growth problems,birth defects,heart problems,cleft palate,thumb abnormalities,Diamond-Blackfan Anemia
breathing distress,blue coloration,poor feeding,repeated infections,heart defects,low calcium,distinctive facial features,developmental delay,DiGeorge Syndrome
reduced muscle tone,feeding difficulties,distinctive facial features,intellectual disability,heart defects,vision problems,hearing problems,increased infection risk,Down Syndrome
cleft lip/palate,heart defects,abnormal fingers,learning difficulties,speech delays,behavioral problems,kidney problems,immune deficiency,22q11.2 Deletion Syndrome
swelling,pain,warmth,skin color changes,clotting family history,recent surgery,prolonged bed rest,birth control pill use,Thrombophilia
muscle wasting,sensation loss,foot deformities,weakness,walking difficulty,hand weakness,balance problems,family history,Charcot-Marie-Tooth Disease
profuse sweating,facial flushing,diarrhea,heart palpitations,wheezing,stomach pain,weight loss,skin changes,Carcinoid Syndrome
excessive bruising,thin skin,poor wound healing,weight gain,high blood pressure,diabetes,depression,bone weakness,Cushing Syndrome
excessive hair growth,irregular periods,acne,weight gain,insulin resistance,infertility,mood changes,sleep breathing problems,Polycystic Ovary Syndrome
heat sensitivity,heart palpitations,hand tremor,weight loss,anxiety,sweating,diarrhea,muscle weakness,Thyrotoxicosis
cold sensitivity,tiredness,constipation,weight gain,dry skin,hair loss,depression,muscle weakness,Hypothyroidism
breathing difficulties,lung infections,digestive problems,chronic cough,sinus infections,ear infections,infertility,airway dilation,Primary Ciliary Dyskinesia
headaches,vision problems,ear ringing,nausea,vomiting,double vision,neck stiffness,confusion,Idiopathic Intracranial Hypertension
facial butterfly rash,arthritis,light sensitivity,kidney problems,neurological symptoms,blood disorders,fever,tiredness,Lupus Erythematosus
fever,lymph node swelling,liver and spleen enlargement,neurological symptoms,bleeding,liver problems,kidney problems,respiratory failure,Hemophagocytic Lymphohistiocytosis
muscle weakness,heart abnormalities,exercise intolerance,tiredness,seizures,hearing loss,vision problems,developmental delays,Mitochondrial Myopathy
tiredness,muscle pain,brain fog,sleep disturbances,headaches,tender points,depression,anxiety,Chronic Fatigue Syndrome
seizures,skin lesions,developmental delay,eye pressure,one-sided weakness,intellectual disability,facial birthmark,eye abnormalities,Sturge-Weber Syndrome
hypermobile joints,stretchy skin,fragile blood vessels,easy bruising,organ rupture,artery tearing,lung collapse,severe complications,Vascular Ehlers-Danlos Syndrome
progressive blindness,brain disease,balance problems,seizures,dementia,movement disorders,behavioral changes,premature death,Batten Disease
yellow skin,vomiting,enlarged liver,neurological problems,poor feeding,failure to thrive,developmental delays,brain damage risk,Crigler-Najjar Syndrome
poor growth,facial abnormalities,congenital heart defects,bleeding disorders,learning difficulties,short stature,webbed neck,undescended testes,Noonan Syndrome
small head,stiffness,intellectual disability,seizures,movement disorders,breathing problems,feeding difficulties,progressive deterioration,Rett Syndrome
intellectual disability,behavioral problems,enlarged testes,autism spectrum behaviors,hyperactivity,seizures,connective tissue problems,heart valve prolapse,Fragile X Syndrome
heart sound abnormality,blue skin tinge,tiredness,breathing difficulty,poor feeding,failure to thrive,finger clubbing,squatting position,Tetralogy of Fallot
kidney cysts,liver cysts,brain aneurysms,high blood pressure,kidney stones,urinary infections,back pain,kidney failure,Polycystic Kidney Disease
hand tremor,balance problems,dementia,liver problems,corneal rings,psychiatric symptoms,movement disorders,swallowing difficulty,Wilson's Disease
yellowing skin,dark urine,stomach pain,tiredness,stress-triggered symptoms,fasting-triggered symptoms,mild bilirubin elevation,family history,Gilbert's Syndrome
joint pain,fever,salmon-colored rash,cold-triggered symptoms,eye redness,lymph node swelling,headache,muscle pain,Familial Cold Autoinflammatory Syndrome
repeated infections,failure to thrive,diarrhea,pneumonia,opportunistic infections,absent immune tissue,early death family history,genetic inheritance,Severe Combined Immunodeficiency
hair loss,nail changes,skin changes,bone marrow failure,lung scarring,liver problems,premature aging,cancer predisposition,Dyskeratosis Congenita
abnormal red blood cells,yellowing skin,enlarged spleen,anemia,gallbladder stones,leg sores,tiredness,anemia family history,Hereditary Spherocytosis
heart abnormalities,limb defects,spine abnormalities,kidney problems,growth problems,anal problems,windpipe problems,multiple malformations,VACTERL Association
coughing blood,small blood vessels,nosebleeds,artery-vein malformations,bleeding family history,iron deficiency anemia,breathing difficulty,tiredness,Hereditary Hemorrhagic Telangiectasia
facial weakness,shoulder weakness,distal weakness,foot drop,shoulder blade winging,hearing loss,eye abnormalities,asymmetric weakness,Facioscapulohumeral Muscular Dystrophy
involuntary movements,psychiatric symptoms,cognitive decline,personality changes,depression,irritability,swallowing difficulty,weight loss,Huntington's Disease
club foot,spine curvature,contractures,joint deformities,muscle weakness,breathing problems,feeding difficulties,multiple joint involvement,Arthrogryposis
high-arched palate,long fingers,flat feet,tall stature,spine curvature,joint contractures,muscle weakness,heart problems,Beals Syndrome
sudden heart death,fainting,heart racing,sudden death family history,prolonged heart rhythm,dangerous rhythm,exercise symptoms,medication sensitivity,Long QT Syndrome
blood cell destruction,neurological abnormalities,kidney failure,low platelets,blood fragments,confusion,seizures,high blood pressure,Hemolytic Uremic Syndrome
skin breakdown,chronic inflammation,delayed healing,painful lesions,trauma sensitivity,arthritis,eye inflammation,bowel disease association,Pyoderma Gangrenosum
repeated pneumonia,sinus problems,airway dilation,organ reversal,infertility,chronic cough,hearing loss,smell loss,Kartagener Syndrome
stiffness,back pain,reduced spine mobility,tiredness,eye inflammation,bowel problems,skin lesions,family history,Ankylosing Spondylitis
seizure disorder,intellectual disability,facial growths,heart tumors,kidney tumors,brain lesions,behavioral problems,autism spectrum,Tuberous Sclerosis Complex
muscle weakness,repeated infections,low muscle tone,breathing problems,feeding difficulties,distinctive facial features,eyelid drooping,eye muscle weakness,Myotubular Myopathy
muscle weakness,muscle wasting,muscle twitching,breathing problems,swallowing difficulties,progressive weakness,family history,genetic inheritance,Spinal Muscular Atrophy
eye pressure,large cornea,iris underdevelopment,tooth abnormalities,belly button abnormalities,hearing loss,distinctive facial features,developmental delays,Axenfeld-Rieger Syndrome
small eyes,intellectual disability,seizures,brain abnormality,eye lesions,spine abnormalities,female predominance,infant spasms,Aicardi Syndrome
heart abnormalities,hearing loss,skin color changes,fainting,sudden heart death,prolonged heart rhythm,deafness family history,heart rhythm abnormalities,Jervell and Lange-Nielsen Syndrome
scaly skin,mental retardation,leg stiffness,eye deterioration,fatty substance buildup,itching,growth problems,seizures,Sjögren-Larsson Syndrome
hair loss,nail changes,thick skin on palms,mouth white patches,hoarse voice,painful nails,thickened skin,cyst formation,Pachyonychia Congenita
